record_id,ref_ids,source_key,source_title,source_type,evidence_basket,domain,attack_vector,control_or_topic,geography,time_period,study_type,metric_name,metric_value,metric_unit,denominator,extracted_result,limitations,comparable_group,include_in_grouped_synthesis,evidence_confidence_1_to_5,primary_url,human_review_status
SPSEC50-059,16,Zhang2025AIIDReview,AI-based Identity Fraud Detection: A Systematic Review,academic,academic,identity fraud detection,identity fraud detection,systematic review,global,2025,systematic review,papers reviewed,43,papers,systematic literature review,The review selected 43 papers across four academic databases.,Preprint; review scope depends on search terms and inclusion criteria.,academic_review_scope,True,4,https://arxiv.org/abs/2501.09239,reviewed
SPSEC50-060,16,Zhang2025AIIDReview,AI-based Identity Fraud Detection: A Systematic Review,academic,academic,identity fraud detection,identity fraud detection,systematic review,global,2025,systematic review,literature databases searched,4,databases,academic databases,The review used four major academic literature databases and created a taxonomy of AI-based identity fraud detection/prevention.,Preprint; not all databases cover vendor/government data.,academic_review_scope,True,4,https://arxiv.org/abs/2501.09239,reviewed
SPSEC50-061,17,Li2022LiveBugger,Seeing is Living? Rethinking the Security of Facial Liveness Verification in the Deepfake Era,academic,academic,liveness verification,deepfake liveness bypass,facial liveness verification,global,2022,empirical study,attack success boost,70,percent increase,LiveBugger two-stage approach,LiveBugger could boost attack success rates by up to 70% against facial liveness verification.,Preprint; platform and model specific.,attack_success_metrics,True,4,https://arxiv.org/abs/2202.10673,reviewed
SPSEC50-062,18,Mittal2024PITCH,PITCH: AI-assisted Tagging of Deepfake Audio Calls using Challenge-Response,academic,academic,voice deepfake detection,voice deepfake,challenge-response detection,global,2024,empirical study,original audio samples,18600,samples,PITCH dataset,"PITCH used 18,600 original audio samples from 100 users.",Preprint dataset; call environment constraints.,academic_dataset_size,True,4,https://arxiv.org/abs/2402.18085,reviewed
SPSEC50-063,18,Mittal2024PITCH,PITCH: AI-assisted Tagging of Deepfake Audio Calls using Challenge-Response,academic,academic,voice deepfake detection,voice deepfake,challenge-response detection,global,2024,empirical study,deepfake samples,1600000,samples,PITCH dataset,PITCH used 1.6M deepfake samples.,Preprint dataset.,academic_dataset_size,True,4,https://arxiv.org/abs/2402.18085,reviewed
SPSEC50-064,18,Mittal2024PITCH,PITCH: AI-assisted Tagging of Deepfake Audio Calls using Challenge-Response,academic,academic,voice deepfake detection,voice deepfake,challenge-response detection,global,2024,empirical study,machine AUROC,88.7,percent AUROC,full unbalanced dataset,PITCH prospective challenges enhanced machine detection to 88.7% AUROC.,Not a deployed fraud-control benchmark.,detection_performance,True,4,https://arxiv.org/abs/2402.18085,reviewed
SPSEC50-065,18,Mittal2024PITCH,PITCH: AI-assisted Tagging of Deepfake Audio Calls using Challenge-Response,academic,academic,voice deepfake detection,voice deepfake,human detection,global,2024,empirical study,human accuracy,72.6,percent accuracy,balanced subset,Human evaluators independently scored 72.6% accuracy on the challenging subset.,Human study setup may not mirror real calls.,detection_performance,True,4,https://arxiv.org/abs/2402.18085,reviewed
SPSEC50-066,18,Mittal2024PITCH,PITCH: AI-assisted Tagging of Deepfake Audio Calls using Challenge-Response,academic,academic,voice deepfake detection,voice deepfake,assisted detection,global,2024,empirical study,assisted detection accuracy,84.5,percent accuracy,PITCH user-assisted system,PITCH boosted user decision accuracy to 84.5%.,"Preprint, controlled setting.",detection_performance,True,4,https://arxiv.org/abs/2402.18085,reviewed
SPSEC50-067,19,Li2025Vishing,Talking Like a Phisher: LLM-Based Attacks on Voice Phishing Classifiers,academic,academic,vishing,LLM vishing,vishing detection,Korea/global relevance,2025,empirical study,classifier accuracy reduction,30.96,percent reduction,ML classifiers on Korean vishing data,LLM-generated vishing transcripts reduced classifier accuracy by up to 30.96%.,Preprint; transcript-domain and language specific.,attack_success_metrics,True,4,https://arxiv.org/abs/2507.16291,reviewed
SPSEC50-068,19,Li2025Vishing,Talking Like a Phisher: LLM-Based Attacks on Voice Phishing Classifiers,academic,academic,vishing,LLM vishing,vishing generation,Korea/global relevance,2025,empirical study,average generation time,9,seconds,average adversarial transcript generation,The paper reports average generation times under 9 seconds.,Preprint; costs and speed depend on model access.,attack_economics,True,4,https://arxiv.org/abs/2507.16291,reviewed
